Code,standardlength,totallength,bodydepthpectoral,bodydepthanus,propulsivearea,bodyarea,musclearea,eyediameter,caudalpeduncledepth,caudalfinheight,caudalfinarea,bodywidth,interorbitalwidth,Date,region,SST
317,7.7429,9.9211,2.115,1.4325,9.1964,10.72,4.8488,0.5641,0.5536,1.1793,2.4966,0.8795,0.4944,2017-11-20,NJ,9
318,7.5975,9.1106,2.1765,1.4296,7.4682,11.0896,4.5203,0.5121,0.5491,0.9393,1.5361,0.8555,0.5051,2017-11-20,NJ,9
319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9726,0.5405,2017-11-20,NJ,9
320,7.2898,9.1028,1.8036,1.385,7.9044,8.9422,3.8709,0.4888,0.5367,0.9209,1.7106,0.8672,0.3952,2017-11-20,NJ,9
342,10.9989,13.7077,3.291,2.6401,19.4432,25.0385,12.111,0.7274,0.7941,1.0879,2.8988,1.9298,0.9287,2017-11-20,NJ,9
343,11.0925,14.4303,3.2113,2.5318,20.2638,24.3373,12.3747,0.7963,0.7601,1.4843,4.6355,1.6347,0.9044,2017-11-20,NJ,9
344,11.6952,14.2601,3.7016,2.5096,21.7419,28.2222,13.08,0.8915,0.9843,1.7384,4.5031,1.6749,1.131,2017-11-20,NJ,9
345,12.5749,16.1178,3.7746,2.6199,28.2936,31.954,15.9729,0.8405,1.083,1.7546,6.4932,1.4193,0.9055,2017-11-20,NJ,9
346,12.9124,16.9339,3.7824,3.0496,27.8671,34.6129,16.7587,0.8706,1.0437,1.8923,5.5876,1.7178,1.1069,2017-11-20,NJ,9
350,9.4766,11.9842,2.5962,2.1411,14.3929,16.5316,8.4128,0.6461,0.695,1.4468,3.514,1.3107,0.8277,2017-12-18,NJ,6
351,10.399,13.2991,2.7996,2.3832,16.8913,20.2796,10.0668,0.7848,0.922,1.6338,3.8986,1.12,0.7193,2017-12-18,NJ,6
352,11.9163,14.4424,3.2659,2.9096,23.1868,28.1258,13.8258,0.8298,0.8507,1.6239,4.4727,1.4014,0.9338,2017-12-18,NJ,6
354,9.1335,10.4486,2.5951,1.8602,11.5162,16.6834,8.1197,0.6384,0.7856,1.2461,1.7251,0.9374,0.6578,2017-12-18,NJ,6
355,13.2182,16.5827,3.6985,2.8469,25.5232,31.5962,13.9058,0.9127,0.9385,1.9401,5.4716,1.4252,0.8298,2017-12-18,NJ,6
356,12.4946,15.4905,3.473,2.8649,29.8135,30.2927,13.7045,0.8831,0.9811,2.1959,7.5203,1.6603,1.1371,2017-12-18,NJ,6
357,9.9687,11.6051,2.6052,2.0951,13.7307,17.2462,9.0665,0.7728,0.7274,1.3869,2.6953,1.0037,0.7125,2017-12-11,NJ,6
358,10.7529,12.5538,2.827,2.4123,16.8968,20.5782,9.5534,0.7461,0.7644,1.6098,3.6178,0.8988,1.2632,2017-12-11,NJ,6
359,10.3868,12.9344,2.7501,2.1262,16.9638,19.6886,9.4494,0.7335,0.7363,1.4523,3.3181,1.3463,0.8276,2017-12-11,NJ,6
360,8.2564,10.7563,2.2217,1.8669,12.1568,13.9875,6.6269,0.6862,0.6858,1.4086,3.5265,1.1407,0.6608,2017-12-11,NJ,6
361,10.4365,12.8828,2.8937,2.4505,18.2926,22.3985,11.2858,0.7001,0.8539,1.6565,3.6849,1.3017,0.7814,2017-12-11,NJ,6
362,9.3565,11.2524,2.7548,2.1501,11.5853,17.2821,8.3086,0.7187,0.4029,0.638,1.357,1.0793,0.6363,2017-12-11,NJ,6
363,10.0888,12.8045,2.8134,2.2557,16.0686,18.7653,9.6975,0.6957,0.8511,1.4225,3.7723,1.2804,0.7246,2017-12-11,NJ,6
364,14.8968,18.3071,4.0563,3.3846,35.9169,43.466,19.0981,1.0081,1.2224,2.3355,8.7689,1.3559,0.8864,2017-12-11,NJ,6
581,8.3131,10.1303,2.2842,1.6626,10.6664,12.6726,6.5127,0.5297,0.6924,1.0418,1.7961,1.0936,0.6871,2017-09-11,NJ,19.5
582,11.089,14.3258,3.1097,2.6521,22.6623,23.4876,11.8119,0.7621,1.0009,2.0909,5.5972,1.3467,0.8571,2017-09-11,NJ,19.5
583,8.1038,9.4473,2.0224,1.8542,9.5369,11.9512,5.835,0.6125,0.6756,1.1272,1.4573,0.9027,0.7148,2017-09-11,NJ,19.5
584,9.7563,12.179,2.7114,2.2756,13.6245,17.5103,7.6152,0.5423,0.853,1.3251,2.5538,1.0873,0.7639,2017-09-11,NJ,19.5
585,8.6988,10.7125,2.151,1.8358,12.2334,14.5693,6.3552,0.6394,0.5903,1.4588,3.0848,0.8741,0.638,2017-09-11,NJ,19.5
586,8.8409,9.6434,2.2285,1.8806,8.6444,12.8729,6.0337,0.5884,0.7339,0.9605,1.1098,0.8687,0.6065,2017-09-11,NJ,19.5
587,8.8191,11.1467,2.5317,2.02,11.1128,15.0904,6.9104,0.5672,0.7201,1.3145,2.2454,0.9924,0.6774,2017-09-11,NJ,19.5
