n,Standardlength,Totallength,Depthatpec,Depthatanus,Pulsearea,Musclearea,Bodyarea,Cauddepth,Caudheight,Caudarea,Bodywidth,Interoctdistance,Eyediameter
109,11.7934,14.6235,3.0412,2.1154,16.5422,10.5721,27.4061,0.9115,1.348,3.0196,,,0.7572
110,,,,,,,,,,,0.791,0.9999,
111,11.7985,14.951,3.3792,2.2848,20.0695,12.695,27.8743,1.0493,1.4628,3.3909,,,0.9311
112,,,,,,,,,,,0.7635,1.0549,
113,11.4514,14.3505,3.2621,2.4227,18.9183,11.9256,28.447,1.0255,1.4259,3.4489,,,0.7878
114,,,,,,,,,,,0.7518,1.1957,
115,10.4901,13.1848,3.0523,2.0671,16.119,9.8087,22.3301,1.0106,1.4961,3.5639,,,0.7906
116,,,,,,,,,,,0.677,0.7876,
117,6.104,6.9442,1.6374,1.0729,4.675,3.3608,7.4208,0.5727,0.7564,0.6459,,,0.5063
118,,,,,,,,,,,0.403,0.6421,
119,10.6211,13.1419,2.8984,2.137,15.5713,10.1013,22.1111,0.9582,1.4498,2.9208,,,0.7455
120,,,,,,,,,,,0.6971,1.0948,
121,11.2083,14.1503,3.2432,2.3006,19.9157,12.2902,24.7289,0.9995,1.7385,4.2944,,,0.8461
122,,,,,,,,,,,0.6985,1.22,
123,8.9945,11.0492,2.3571,1.667,11.4078,7.5508,15.4369,0.8189,1.1878,1.7015,,,0.6749
124,,,,,,,,,,,0.566,0.8679,
125,10.3978,12.8791,2.7893,1.8996,12.5436,8.751,20.5879,0.8723,0.9859,1.3982,,,0.7094
126,,,,,,,,,,,0.6718,0.9919,
127,6.0877,7.0784,1.7711,1.1897,5.3088,3.8248,7.7978,0.6339,0.7851,0.668,,,0.4868
128,,,,,,,,,,,0.4835,0.4328,
129,10.4201,12.5829,2.9275,2.1518,16.0558,10.2307,22.4398,0.929,1.221,2.4799,,,0.7171
130,,,,,,,,,,,0.6266,0.7813,
131,8.6938,10.4711,2.0842,1.6211,9.4148,6.4279,14.0343,0.7773,0.9875,1.5349,,,0.5538
132,,,,,,,,,,,0.5321,0.7795,
133,13.9517,18.3576,4.0775,2.8792,36.4282,20.9919,38.6067,1.3034,2.1651,8.1977,,,1.1233
134,,,,,,,,,,,1.0536,1.448,
